OrderID,Date,Product,Category,Quantity,UnitPrice,TotalSales
1001,2023-01-05,Laptop,Electronics,1,900,900
1002,2023-01-08,Mouse,Accessories,3,50,150
1003,2023-01-12,Keyboard,Accessories,2,80,160
1004,2023-01-17,Monitor,Electronics,1,300,300
1005,2023-01-22,Headphones,Accessories,2,150,300
1006,2023-02-03,Tablet,Electronics,2,500,1000
1007,2023-02-07,Mouse,Accessories,4,50,200
1008,2023-02-11,Smartphone,Electronics,1,600,600
1009,2023-02-16,Keyboard,Accessories,3,80,240
1010,2023-02-23,Laptop,Electronics,1,900,900
1011,2023-03-02,Headphones,Accessories,3,150,450
1012,2023-03-06,Monitor,Electronics,2,300,600
1013,2023-03-12,Mouse,Accessories,5,50,250
1014,2023-03-18,Tablet,Electronics,1,500,500
1015,2023-03-25,Keyboard,Accessories,2,80,160
1016,2023-04-04,Smartphone,Electronics,2,600,1200
1017,2023-04-09,Laptop,Electronics,1,900,900
1018,2023-04-14,Headphones,Accessories,4,150,600
1019,2023-04-20,Monitor,Electronics,1,300,300
1020,2023-04-27,Mouse,Accessories,6,50,300
